identifier,TopicValue2,Topic,TopicValue,title,Date,Cartoonists,Publisher,NameAuthorities,EQPred_RingKen,Brownlee,KeyJohn,ParkerRobert,CHCHCityCouncil,EnglishSimon,MarryattTony,RingKen,SouthCanterburyFinanceLtd,CERA,AMI,ChristchurchCathedral,BuildingsEarthquakeEffect,Aftershocks,BuildingsRepairReconstruction,CityPlanning,Disasters_PsychologicalAspects,Sewerage,InfrastructureEconomics,Courage,World.Cup,EconomicCondition,mayor_bob_parker_auckland_anderton_local_prime_lower,pike_river_made_toilet_represents_bank_broken_reserve,buildings_people_city_rebuild_heading_building_house,house_jersey_asks_move_neighbour_live_report,rugby_world_cup_ball_buildings_damage_decision_tsunami,people_aftershocks_gambling_wondering_year_show_power,business_cbd_allowed_owners_large_central_point,recovery_cera_portaloo_damage_problems_back_portaloos,red_people_buildings_black_rubble_areas_damage,city_comments_boy_people_rebuild_map_ideas,week_time_rebuilding_contractors_work_party_labour,ring_moon_people_workers_ken_march_port,aftershocks_people_aftershock_liquefaction_house_great_phone,version_word_cathedral_reading_letters_large_home,insurance_finance_billion_government_cost_company_huge,people_couple_reading_months_time_news_council,city_council_people_tony_marryatt_june_pay_rise_large_orange
DCDL-0015533,9.41468459152017,red_people_buildings_black_rubble_areas_damage,0.414684591520165,"Out from under the woodwork... CANTERBURY. Looter. Looter. Looter. Politics. Politics. 6 September 2010",07/09/2010,"Hubbard, James",Northern advocate (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362978283350569,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.414684591520165,0.00103412616339193,0.104446742502585,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.104446742502585,0.00103412616339193
DCDL-0015539,9.96163069544365,red_people_buildings_black_rubble_areas_damage,0.961630695443645,"THE HELPING HAND. [Canterbury earthquake]. 9 September 2010",09/09/2010,"Hawkey, Allan Charles",Waikato times (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.961630695443645,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218
DCDL-0015541,15.4625144175317,insurance_finance_billion_government_cost_company_huge,0.462514417531719,"WATER... One minute too much... The next, not enough... 8 September 2010",08/09/2010,"Bromhead, Peter",Marlborough Express (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.34717416378316,0.174163783160323,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.462514417531719,0.00115340253748558,0.00115340253748558
DCDL-0015552,15.5476839237057,insurance_finance_billion_government_cost_company_huge,0.547683923705722,"AFTERSHOCK$$$$$$$$$$ $2 Billion/ $4 Billion. [Canterbury earthquake]. 9 September 2010",09/09/2010,"Winter, Mark",Southland times (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.411444141689373,0.00272479564032698,0.547683923705722,0.00272479564032698,0.00272479564032698
DCDL-0015558,1.62900976290098,mayor_bob_parker_auckland_anderton_local_prime_lower,0.629009762900976,""The mayor is promising to 'MOVE OUR DISTRICT FORWARD'" "With all the NEW JOBS on offer in Christchurch maybe he should move our district down there?" 11 September 2010",11/09/2010,"Clark, Laurence",Northern advocate (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629009762900976,0.00139470013947001,0.00139470013947001,0.350069735006973,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001
DCDL-0015561,3.43729552889858,buildings_people_city_rebuild_heading_building_house,0.437295528898582,""In the event of a natural disaster - Harold wants enough provisions to see us through to the Rugby World Cup" 13 September 2010",13/09/2010,"Hawkey, Allan Charles",Waikato times (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00109051254089422,0.00109051254089422,0.437295528898582,0.273718647764449,0.273718647764449,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422
DCDL-0015562,1.94576828266228,mayor_bob_parker_auckland_anderton_local_prime_lower,0.945768282662284,""I'm still here!" Jim Anderton for Mayor. 14 September 2010",14/09/2010,"Hawkey, Allan Charles",Waikato times (Newspaper),"Anderton, James Patrick (Hon), 1938- (name_authority) # Parker, Robert John (Sir), 1953- (name_authority)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945768282662284,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.0419063270336894,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086
DCDL-0015572,15.9926165205353,insurance_finance_billion_government_cost_company_huge,0.992616520535302,"Cracks in the pedestal.... 14 September 2010",15/09/2010,"Hodgson, Trace",Nelson mail (Newspaper),"Key, John Phillip (Rt Hon), 1961- (name_authority) # South Canterbury Finance Ltd (name_authority)",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.992616520535302,0.000461467466543609,0.000461467466543609
DCDL-0015572A,15.9926165205353,insurance_finance_billion_government_cost_company_huge,0.992616520535302,"Cracks in the pedestal.... 14 September 2010",15/09/2010,"Hodgson, Trace",Dominion post (Newspaper),"Key, John Phillip (Rt Hon), 1961- (name_authority) # South Canterbury Finance Ltd (name_authority)",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.000461467466543609,0.992616520535302,0.000461467466543609,0.000461467466543609
DCDL-0015573,15.8901881037112,insurance_finance_billion_government_cost_company_huge,0.890188103711235,"SEISMIC UPHEAVAL. "I feel your pain, Bill" 10 September 2010",18/09/2010,"Slane, Christopher",Listener (Serial),"English, Simon William (Hon), 1961- (name_authority) # Key, John Phillip (Rt Hon), 1961- (name_authority) # South Canterbury Finance Ltd (name_authority)",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000508388408744281,0.000508388408744281,0.1021860701576,0.000508388408744281,0.000508388408744281,0.000508388408744281,0.000508388408744281,0.000508388408744281,0.000508388408744281,0.000508388408744281,0.000508388408744281,0.000508388408744281,0.000508388408744281,0.000508388408744281,0.890188103711235,0.000508388408744281,0.000508388408744281
