term,february_people_cathedral_aftershocks_rubble_buildings_september,city_council_community_reports_chief_executive_government_public,aftershocks_people_house_woman_september_couple_disaster,red_zone_homes_people_areas_damage_central,february_south_pike_river_zealand_island_news_september,describes_experience_touches_sep_family_work_dunedin,eqc_work_rebuild_commission_heading_ian_homes,buildings_city_heritage_architect_notes_discusses_auckland,john_key_labelled_cup_prime_february_rugby_world_representing,buildings_time_february_ring_moon_rubble_devastated,mayor_bob_parker_mp_local_february_special_anderton,finance_government_billion_economy_bill_english_rate_bank,insurance_recent_companies_house_ami_community_company,people_woman_newspaper_reading_comments_headline_february,city_people_university_cbd_including_magnitude_effects,party_year_gas_energy_oil_leader_exploration,people_february_september_jersey_victims_replies_zealand
describes,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,0.00538753783081843,0.0198895498232513,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,0.00840759200523587,2.41610089637343e-05,0.00486747845210951,2.94646277144288e-05,2.50695680513425e-05
speaks,1.56644057707671e-05,0.0123441569449367,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,0.00782237112962989,0.00665976810209876,1.39006658418938e-05,1.42067652616176e-05,0.00556956413311535,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.0105273371173531,2.94646277144288e-05,2.50695680513425e-05
time,1.56644057707671e-05,0.00155650418406818,1.96699384330927e-05,0.00327153762268266,0.00753396724548713,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.000724545028342497,0.0235805924242844,2.17679966912645e-05,0.00879598148676216,0.00840759200523587,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
bob_parker,1.56644057707671e-05,0.000785957558291852,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,0.0511765602211628,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
heritage,1.56644057707671e-05,0.00540923731294981,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,0.0285102656417242,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
including,0.00314854555992418,0.00617978393872613,0.00788764531167017,1.62763065805108e-05,2.1464294146687e-05,0.00640270304802737,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.0145700933068129,0.00150269601343587,2.50695680513425e-05
work,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,0.00652679893878481,2.1464294146687e-05,0.0113715413336362,0.0225795324895858,1.39006658418938e-05,1.42067652616176e-05,0.00556956413311535,2.17679966912645e-05,0.00331220250499024,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
labelled,0.00236532527138583,1.54109325155265e-05,0.00887114223332481,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.0199036781315262,2.77092742941062e-05,2.17679966912645e-05,0.00769922569040777,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
large,0.0062814267140776,1.54109325155265e-05,0.00985463915497944,0.00489916828073374,2.1464294146687e-05,1.41966808160252e-05,0.00400647403751758,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,0.0109894930794709,1.67816207689339e-05,0.00848051414627075,0.00244182473843367,2.94646277144288e-05,2.50695680513425e-05
south,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,0.019339329026165,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.00640725113298953,2.77092742941062e-05,2.17679966912645e-05,0.00440895830134462,1.67816207689339e-05,0.00968856459445746,1.61710247578389e-05,0.00739562155632164,2.50695680513425e-05
newspaper,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,0.00652679893878481,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.00995894244839392,0.00556956413311535,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,0.0205610186281379,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
notes,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,0.00665976810209876,0.013219533215641,1.42067652616176e-05,0.00695502784782067,2.17679966912645e-05,2.19351159270877e-05,0.00756851096678917,2.41610089637343e-05,0.000824722262649784,0.00592239017060019,2.50695680513425e-05
john_key,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,0.00431432312348408,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.027007060762335,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
top,0.00941430786823102,1.54109325155265e-05,0.00395365762505163,0.0040853529517082,0.0118268260748245,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.00498657460682777,2.77092742941062e-05,0.00328696750038094,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
community,1.56644057707671e-05,0.017737983325371,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,0.0117639161590226,2.41610089637343e-05,0.00325037597632562,2.94646277144288e-05,2.50695680513425e-05
company,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,0.00214369880321981,2.65329406458118e-05,1.39006658418938e-05,0.00427623634374689,0.0111114189919366,2.17679966912645e-05,2.19351159270877e-05,0.0117639161590226,2.41610089637343e-05,1.61710247578389e-05,0.011815315713486,0.00253202637318559
frame,1.56644057707671e-05,1.54109325155265e-05,0.00985463915497944,0.00489916828073374,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.00640725113298953,2.77092742941062e-05,0.00546376716950739,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,0.00444915878487875,0.0100528967885883
asks,1.56644057707671e-05,1.54109325155265e-05,0.0059206514683609,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,0.00267982700522699,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,0.00219856766581771,2.19351159270877e-05,0.00505126785144909,2.41610089637343e-05,0.00810168340367729,0.00592239017060019,0.0125598535937226
owners,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,0.00978206025488696,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,0.00835430017097819,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,0.0117639161590226,2.41610089637343e-05,1.61710247578389e-05,0.00297592739915731,2.50695680513425e-05
cbd,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,0.00571298360975927,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,0.00835430017097819,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.0153786445447048,2.94646277144288e-05,2.50695680513425e-05
central,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,0.0130373215709891,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,0.00626920029469412,1.42067652616176e-05,2.77092742941062e-05,0.00546376716950739,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.0064845809278934,2.94646277144288e-05,2.50695680513425e-05
chief_executive,1.56644057707671e-05,0.0146557968222657,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,0.00798641513438934,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,0.0109248351205759,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
discusses,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,0.00782237112962989,2.65329406458118e-05,0.0104394000472623,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.00486747845210951,0.00886885294204308,2.50695680513425e-05
liquefaction,0.0125471890223844,1.54109325155265e-05,0.00690414839001554,0.00652679893878481,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.00567602969000146,2.94646277144288e-05,2.50695680513425e-05
high,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,0.00427320092562359,2.65329406458118e-05,0.00348906712631535,1.42067652616176e-05,0.00834049156252598,0.00546376716950739,0.0109894930794709,0.0042121868130024,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
includes,1.56644057707671e-05,0.00386814406139715,0.0059206514683609,1.62763065805108e-05,2.1464294146687e-05,0.00995187325203368,2.65329406458118e-05,0.00626920029469412,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.00244182473843367,2.94646277144288e-05,2.50695680513425e-05
sep,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,0.0127912094152387,2.65329406458118e-05,0.00626920029469412,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.00810168340367729,2.94646277144288e-05,2.50695680513425e-05
cup,1.56644057707671e-05,1.54109325155265e-05,0.00690414839001554,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.0191933398684454,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,0.00244026190533717,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
rubble,0.0172465107536146,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,0.0180387375654632,0.00111016783125449,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
auckland,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,0.0104394000472623,0.00427623634374689,0.00972595527723129,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.00486747845210951,0.00150269601343587,2.50695680513425e-05
homes,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,0.0171063982161168,2.1464294146687e-05,1.41966808160252e-05,0.0132930032635517,0.000708933957936585,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,0.00253402473610901,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
made,1.56644057707671e-05,0.00463869068717348,1.96699384330927e-05,0.00327153762268266,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,0.00626920029469412,1.42067652616176e-05,0.00695502784782067,2.17679966912645e-05,0.00879598148676216,1.67816207689339e-05,0.00364831235352388,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
post,0.00314854555992418,1.54109325155265e-05,0.00788764531167017,1.62763065805108e-05,2.1464294146687e-05,0.00498303496642485,2.65329406458118e-05,0.00487913371050473,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.00729313216578535,2.94646277144288e-05,2.50695680513425e-05
hit,0.00471498613700089,1.54109325155265e-05,0.00198666378174236,0.0105958755839125,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.00853826592223217,0.00141317298899942,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
number,1.56644057707671e-05,0.00386814406139715,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,0.00798641513438934,0.00835430017097819,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.00891023464156924,2.94646277144288e-05,2.50695680513425e-05
representing,0.00706464700261596,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.0149313102899601,2.77092742941062e-05,0.00437536733494417,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
june,0.00393176584846254,1.54109325155265e-05,0.00788764531167017,0.00489916828073374,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.00569691286990865,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.00163327350054173,2.94646277144288e-05,0.00503898317831984
reading,0.00158210498284748,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,0.00324110841614973,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.00640725113298953,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,0.0181449177317645,1.61710247578389e-05,2.94646277144288e-05,0.00503898317831984
home,0.000798884694309121,1.54109325155265e-05,0.00887114223332481,0.000830091635606048,2.1464294146687e-05,0.00569286900722611,2.65329406458118e-05,1.39006658418938e-05,0.00285555981758513,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,0.00505126785144909,0.00364831235352388,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
caused,0.00471498613700089,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,0.00646075253815278,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.00427623634374689,0.00695502784782067,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.0064845809278934,2.94646277144288e-05,2.50695680513425e-05
cost,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,0.00348906712631535,0.0106692807114748,2.77092742941062e-05,2.17679966912645e-05,0.00660246989405339,0.00169494369766232,2.41610089637343e-05,1.61710247578389e-05,0.00444915878487875,2.50695680513425e-05
problems,0.00393176584846254,0.00386814406139715,0.00788764531167017,1.62763065805108e-05,0.00216789370881539,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.00498657460682777,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,0.00592239017060019,2.50695680513425e-05
university,1.56644057707671e-05,0.00309759743562083,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,0.00556956413311535,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,0.0186128494962726,2.94646277144288e-05,2.50695680513425e-05
disaster,1.56644057707671e-05,0.0023270508098445,0.0108381360766341,1.62763065805108e-05,0.00860718195282148,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,0.00672942992834248,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
experience,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,0.016340379619245,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,0.00141317298899942,0.00655216700407061,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
ground,1.56644057707671e-05,1.54109325155265e-05,0.00788764531167017,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,0.00418410041841004,0.00782792765915129,2.77092742941062e-05,0.00219856766581771,0.00331220250499024,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
news,1.56644057707671e-05,0.00695033056450246,1.96699384330927e-05,1.62763065805108e-05,0.0139732554894932,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,0.00968856459445746,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
response,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,0.00285353284402107,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,0.00769922569040777,0.00840759200523587,2.41610089637343e-05,0.00729313216578535,2.94646277144288e-05,2.50695680513425e-05
finance,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,0.00538753783081843,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.00498657460682777,2.77092742941062e-05,2.17679966912645e-05,0.0186667836539516,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
huge,1.56644057707671e-05,0.0023270508098445,0.00198666378174236,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.0128002955007174,2.77092742941062e-05,2.17679966912645e-05,0.00660246989405339,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
local,1.56644057707671e-05,0.00540923731294981,1.96699384330927e-05,0.000830091635606048,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,0.0141709658460132,2.19351159270877e-05,0.00672942992834248,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
