LatinumB:23.8,qui autem respondeo vis oculus ille nondum deleo et redeo si adhibeo vis saluber vespasianus ille deus fortasse cor sum puto,Percent known
LatinumB:3.4,**Mercurius** **deus** **mercatorum** **est.** **Itaque** **post** **reditum** **Mercurio** **deo** **et** **ceteris** **deis** **gratias** **agunt.**,NA
LatinumB:11.15,**Rem?** **Ita!** **Nam** **Romani** **servos** **pro** **rebus** **habebant.**,NA
LatinumB:21.4,**Archimede** **interfecto** **Marcellus,** **imperator** **Romanus,** **doluit** **sepulturaeque** **honorificae** **curam** **habuit.**,NA
LatinumB:22.1,**Antiquis** **temporibus** **Romani** **eos** **praecipue** **colebant** **deos,** **qui** **agricolas** **in** **agris** **colendis** **adiuvabant.**,NA
LatinumB:22.5,**Cuius** **rei** **causa** **suovetaurilia** **circa** **agros** **meos** **agi** **iussi.**,NA
