LatinumB:23.2,ille imperator ut pater patrius et salus novus auctor quasi deus colo,Percent known
LatinumB:16.14,**Nostra** **enim** **res** **agitur,** **patres** **conscripti!**,NA
LatinumB:17.10,**mox** **frumentum** **urbi** **Romae** **deerat.**,NA
LatinumB:21.2,**Urbe** **ab** **exercitu** **Romano** **capta** **milites** **diripiendi** **causa** **domos** **invaserunt.**,NA
LatinumB:21.3,**Memoriae** **proditum** **est** **eo** **in** **tumultu** **etiam** **Archimedem,** **mathematicum** **praeclarum,** **intentum** **in** **formas,** **quas** **in** **pulvere** **scribebat,** **a** **milite** **quodam** **Romano** **interfectum** **esse.**,NA
LatinumB:22.5,**Cuius** **rei** **causa** **suovetaurilia** **circa** **agros** **meos** **agi** **iussi.**,NA
