term,river_pike_south_disaster_island_people_mine,city_people_version_comments_word_large_council,made_bank_representing_chch_reserve_paper_left,insurance_council_marryatt_city_pay_tony_ami,toilet_rubble_portaloo_time_damage_portaloos_problems,aftershocks_residents_move_parking_nature_crumbling_mother,buildings_rubble_damage_people_sign_cathedral_representing,red_zone_house_areas_report_city_homes,world_cup_rugby_people_decision_damage_land,people_gambling_runs_wondering_victims_mobile_power,mayor_bob_parker_jersey_body_elections_anderton,red_zone_business_owners_allowed_black_cbd,eqc_contractors_week_list_quakes_paid_hour,john_key_finance_government_prime_billion_english,brownlee_gerry_recovery_buildings_john_damaged_key,aftershocks_liquefaction_rebuild_house_heading_people_couple,ring_ken_people_moon_march_japan_weeks
june,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,0.00999369168963113,5.08414255935736e-05,0.0144927536231884,2.60967144236541e-05,0.0135155383739399,0.00989513133239094,0.0071669277137026,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
south,0.0311985402109573,0.00888718296967729,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.0164699694270029,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
huge,4.45057634963728e-05,2.95255248162036e-05,0.0117951330381285,0.013313855041668,5.08414255935736e-05,0.00967788530983677,2.60967144236541e-05,2.9967934310288e-05,0.00167658371412604,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.00989513133239094,0.00735751674658662,2.34912729920834e-05,3.79233190488832e-05
business,4.45057634963728e-05,2.95255248162036e-05,0.00395783533837533,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,0.0412838876598298,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,0.00572642117638136
finance,0.00894565846277093,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.0378381932344916,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
prime,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.0345507741871856,0.0110179728394158,2.34912729920834e-05,3.79233190488832e-05
building,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,0.00833361001361267,5.08414255935736e-05,4.81486831335163e-05,0.0143792896474334,0.00152836464982469,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,0.0105945641194296,3.79233190488832e-05
called,4.45057634963728e-05,0.00445835424724675,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,0.00941167647830815,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,0.012943691418638,0.013311084986158
comments,4.45057634963728e-05,0.0221736691369689,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,0.0165123318049687,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
heading,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,0.011769618205068,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,0.019991073316263,3.79233190488832e-05
problems,4.45057634963728e-05,0.00298207800643656,3.91864884987656e-05,0.00833361001361267,0.020387411663023,4.81486831335163e-05,0.00394060387797176,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,0.00942000046982546,3.79233190488832e-05
rebuilding,4.45057634963728e-05,0.00445835424724675,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,0.011769618205068,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.004964002761432,0.00552728870017204,0.00942000046982546,3.79233190488832e-05
year,0.00894565846277093,2.95255248162036e-05,3.91864884987656e-05,0.00501344666157575,5.08414255935736e-05,4.81486831335163e-05,0.00655027532033717,0.00752195151188229,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,0.0164759975915485,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,0.00572642117638136
broken,0.00226979393831501,2.95255248162036e-05,0.00983580861319017,3.32016335203692e-05,0.00513498398495094,0.00727045115316096,0.0130744539262507,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,0.00762258712882551
sign,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,0.00486301699648515,0.0195986325321642,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,0.00849212049516245,0.00753684052645393,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
chch,4.45057634963728e-05,2.95255248162036e-05,0.0215917551628199,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,0.0071669277137026,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.00825142180873796,3.66045609282917e-05,2.34912729920834e-05,0.00951875308126967
homes,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,0.00667352833759421,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,0.0195091252359975,0.004964002761432,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,0.0110022442388746,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
liquefaction,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,0.0282130188634922,3.79233190488832e-05
march,4.45057634963728e-05,0.00593463048805692,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,0.00394060387797176,2.9967934310288e-05,0.00332029323777902,4.7463097441739e-05,4.22493556973256e-05,0.00753684052645393,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,0.0208957487959346
replies,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,0.00169328330953883,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,0.0169419916346276,3.74967190370843e-05,0.0110022442388746,3.28741904730596e-05,3.66045609282917e-05,0.012943691418638,3.79233190488832e-05
ring,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,0.0071669277137026,4.22493556973256e-05,0.00753684052645393,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,0.0322727445105996
time,4.45057634963728e-05,0.00298207800643656,3.91864884987656e-05,3.32016335203692e-05,0.0254715542223804,0.00486301699648515,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,0.00941167647830815,5.47375335267393e-05,0.00825142180873796,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
toilet,4.45057634963728e-05,2.95255248162036e-05,0.0137544574630667,3.32016335203692e-05,0.0330977680614164,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,0.0110022442388746,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
words,4.45057634963728e-05,0.00298207800643656,3.91864884987656e-05,0.0149739367176865,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,0.00602355479636789,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,0.00566200457459972,5.47375335267393e-05,0.00989513133239094,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
land,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,0.0195091252359975,0.0164699694270029,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
represents,0.0178468111620455,2.95255248162036e-05,0.00983580861319017,0.00667352833759421,5.08414255935736e-05,0.00727045115316096,2.60967144236541e-05,2.9967934310288e-05,0.004964002761432,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
standing,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,0.011769618205068,2.9967934310288e-05,0.00332029323777902,0.00954008258578955,0.012717056064895,3.74967190370843e-05,5.47375335267393e-05,0.00332029323777902,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
aftershock,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,0.00667352833759421,5.08414255935736e-05,4.81486831335163e-05,0.00394060387797176,2.9967934310288e-05,0.0115388408560439,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,0.00942000046982546,3.79233190488832e-05
bill,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,0.00486301699648515,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.0230448075216148,0.0110179728394158,2.34912729920834e-05,3.79233190488832e-05
hit,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,0.0149739367176865,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,0.00602355479636789,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.00989513133239094,3.66045609282917e-05,2.34912729920834e-05,0.00572642117638136
residents,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,0.01930762193654,0.00524543959915447,0.00602355479636789,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,0.00707087317061712,3.79233190488832e-05
version,4.45057634963728e-05,0.0251262216185893,3.91864884987656e-05,0.00833361001361267,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
week,4.45057634963728e-05,0.0133160116921078,3.91864884987656e-05,3.32016335203692e-05,0.00259291270527226,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,0.00660771228508498,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,0.0219497509442225,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
cost,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,0.00667352833759421,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,0.00602355479636789,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.0214010979979618,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
ground,4.45057634963728e-05,2.95255248162036e-05,0.0117951330381285,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,0.00426718492542989,3.74967190370843e-05,5.47375335267393e-05,0.00989513133239094,3.66045609282917e-05,0.00824543682022129,3.79233190488832e-05
made,4.45057634963728e-05,2.95255248162036e-05,0.0313883772875113,0.00169328330953883,0.00259291270527226,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,0.00572642117638136
paper,0.00449508211313365,2.95255248162036e-05,0.0196324307378816,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,0.00302676136533909,3.28741904730596e-05,4.7463097441739e-05,0.00426718492542989,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,0.00918774479300121,2.34912729920834e-05,3.79233190488832e-05
stands,4.45057634963728e-05,2.95255248162036e-05,0.00983580861319017,3.32016335203692e-05,5.08414255935736e-05,0.00967788530983677,0.011769618205068,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,0.00826536756253763,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
asks,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,0.00259291270527226,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,0.0148295238497613,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,0.00369706065375746,0.0117691277690338,3.79233190488832e-05
cathedral,4.45057634963728e-05,0.0103634592104875,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,0.0169889610897988,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
caused,0.00894565846277093,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,0.00259291270527226,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,0.00660771228508498,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,0.00918774479300121,0.00707087317061712,3.79233190488832e-05
news,0.0156215229872268,0.00445835424724675,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,0.0120171416584255,3.28741904730596e-05,4.7463097441739e-05,0.00426718492542989,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
