identifier,πολύς_ἄλλος_πόλις_ἱερός_οἰκέω_πρότερος_γίγνομαι,σύμμαχος_σπονδή_πρός_ποιέω_σφεῖς_ἀθηναίους_γίγνομαι,ἀθηναῖοι_ἀναχωρέω_ἀθηναίων_ἵστημι_τις_πολύς_μάχη,γίγνομαι_πόλεμος_δ_τελευτάω_θέρος_χειμών_ἔτος,τις_ὅς_ἄλλος_πολύς_πρός_ἔχω_γίγνομαι,ναῦς_ὁπλίτης_ἄλλος_σύμμαχος_δ_ἀθηναίων_στρατία,τις_δῆμος_πολύς_ὡς_ἄλλος_πόλις_σφεῖς,ναῦς_πρός_θάλασσα_τεῖχος_πολύς_τις_μέγας,ναῦς_πλέω_ὡς_ὅς_ἄλλος_ποιέω_ἀφικνέομαι,βασιλεύς_ἔχω_σύμμαχος_σφεῖς_πρότερος_αἱρέω_ἀθηναίων,ὡς_πολύς_χωρέω_δ_ἄλλος_ἦδος_πρός,ὡς_λέγω_ὅστις_σφεῖς_ἄλλος_τις_πρότερος
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.1.1,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.403846153846154,0.589950372208437,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.1.2,0.001953125,0.001953125,0.001953125,0.197265625,0.783203125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.1.3,0.165570175438597,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.823464912280702,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.1,0.678571428571429,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.309113300492611,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.2,0.235878661087866,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.628138075313807,0.000523012552301255,0.000523012552301255,0.000523012552301255,0.105125523012552,0.000523012552301255,0.000523012552301255,0.026673640167364
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.3,0.740147783251232,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.247536945812808,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.4,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.984550561797753,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.5,0.80448717948718,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.163461538461538,0.00320512820512821,0.00320512820512821
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.2.6,0.241275571600481,0.000601684717208183,0.000601684717208183,0.211191335740072,0.391696750902527,0.000601684717208183,0.000601684717208183,0.000601684717208183,0.151022864019254,0.000601684717208183,0.000601684717208183,0.000601684717208183
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.3.1,0.818627450980392,0.165032679738562,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.3.2,0.451865222623345,0.000601684717208183,0.000601684717208183,0.000601684717208183,0.542117930204573,0.000601684717208183,0.000601684717208183,0.000601684717208183,0.000601684717208183,0.000601684717208183,0.000601684717208183,0.000601684717208183
