urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:2.48.1,ἤρξατο δὲ τὸ μὲν πρῶτον, ὡς λέγεται, ἐξ Αἰθιοπίας τῆς ὑπὲρ Αἰγύπτου, ἔπειτα δὲ καὶ ἐς Αἴγυπτον καὶ Λιβύην κατέβη καὶ ἐς τὴν βασιλέως γῆν τὴν πολλήν.,Percent known
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:8.60.1,[Βοιωτοὶ](http://www.perseus.tufts.edu/hopper/morph?l=Βοιωτοὶ&la=greek#lexicon) **δὲ** [τελευτῶντος](http://www.perseus.tufts.edu/hopper/morph?l=τελευτῶντος&la=greek#lexicon) **ἤδη** **τοῦ** [χειμῶνος](http://www.perseus.tufts.edu/hopper/morph?l=χειμῶνος&la=greek#lexicon) [Ὠρωπὸν](http://www.perseus.tufts.edu/hopper/morph?l=Ὠρωπὸν&la=greek#lexicon) [εἷλον](http://www.perseus.tufts.edu/hopper/morph?l=εἷλον&la=greek#lexicon) [προδοσίᾳ,](http://www.perseus.tufts.edu/hopper/morph?l=προδοσίᾳ,&la=greek#lexicon) **Ἀθηναίων** [ἐμφρουρούντων.](http://www.perseus.tufts.edu/hopper/morph?l=ἐμφρουρούντων.&la=greek#lexicon) [ξυνέπραξαν](http://www.perseus.tufts.edu/hopper/morph?l=ξυνέπραξαν&la=greek#lexicon) **δὲ** [Ἐρετριῶν](http://www.perseus.tufts.edu/hopper/morph?l=Ἐρετριῶν&la=greek#lexicon) **τε** [ἄνδρες](http://www.perseus.tufts.edu/hopper/morph?l=ἄνδρες&la=greek#lexicon) **καὶ** **αὐτῶν** [Ὠρωπίων,](http://www.perseus.tufts.edu/hopper/morph?l=Ὠρωπίων,&la=greek#lexicon) **ἐπιβουλεύοντες** [ἀπόστασιν](http://www.perseus.tufts.edu/hopper/morph?l=ἀπόστασιν&la=greek#lexicon) **τῆς** [Εὐβοίας:](http://www.perseus.tufts.edu/hopper/morph?l=Εὐβοίας:&la=greek#lexicon) **ἐπὶ** **γὰρ** **τῇ** [Ἐρετρίᾳ](http://www.perseus.tufts.edu/hopper/morph?l=Ἐρετρίᾳ&la=greek#lexicon) **τὸ** [χωρίον](http://www.perseus.tufts.edu/hopper/morph?l=χωρίον&la=greek#lexicon) **ὂν** **ἀδύνατα** **ἦν** **Ἀθηναίων** **ἐχόντων** **μὴ** **οὐ** **μεγάλα** [βλάπτειν](http://www.perseus.tufts.edu/hopper/morph?l=βλάπτειν&la=greek#lexicon) **καὶ** [Ἐρέτριαν](http://www.perseus.tufts.edu/hopper/morph?l=Ἐρέτριαν&la=greek#lexicon) **καὶ** **τὴν** **ἄλλην** [Εὔβοιαν.](http://www.perseus.tufts.edu/hopper/morph?l=Εὔβοιαν.&la=greek#lexicon),59.0909090909091
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:2.99.3,**τὴν** **δὲ** **παρὰ** **θάλασσαν** **νῦν** [Μακεδονίαν](http://www.perseus.tufts.edu/hopper/morph?l=Μακεδονίαν&la=greek#lexicon) [Ἀλέξανδρος](http://www.perseus.tufts.edu/hopper/morph?l=Ἀλέξανδρος&la=greek#lexicon) **ὁ** [Περδίκκου](http://www.perseus.tufts.edu/hopper/morph?l=Περδίκκου&la=greek#lexicon) [πατὴρ](http://www.perseus.tufts.edu/hopper/morph?l=πατὴρ&la=greek#lexicon) **καὶ** **οἱ** [πρόγονοι](http://www.perseus.tufts.edu/hopper/morph?l=πρόγονοι&la=greek#lexicon) **αὐτοῦ,** [Τημενίδαι](http://www.perseus.tufts.edu/hopper/morph?l=Τημενίδαι&la=greek#lexicon) **τὸ** [ἀρχαῖον](http://www.perseus.tufts.edu/hopper/morph?l=ἀρχαῖον&la=greek#lexicon) **ὄντες** **ἐξ** [Ἄργους,](http://www.perseus.tufts.edu/hopper/morph?l=Ἄργους,&la=greek#lexicon) **πρῶτοι** [ἐκτήσαντο](http://www.perseus.tufts.edu/hopper/morph?l=ἐκτήσαντο&la=greek#lexicon) **καὶ** [ἐβασίλευσαν](http://www.perseus.tufts.edu/hopper/morph?l=ἐβασίλευσαν&la=greek#lexicon) **ἀναστήσαντες** [μάχῃ](http://www.perseus.tufts.edu/hopper/morph?l=μάχῃ&la=greek#lexicon) **ἐκ** **μὲν** [Πιερίας](http://www.perseus.tufts.edu/hopper/morph?l=Πιερίας&la=greek#lexicon) [Πίερας,](http://www.perseus.tufts.edu/hopper/morph?l=Πίερας,&la=greek#lexicon) **οἳ** **ὕστερον** **ὑπὸ** **τὸ** [Πάγγαιον](http://www.perseus.tufts.edu/hopper/morph?l=Πάγγαιον&la=greek#lexicon) [πέραν](http://www.perseus.tufts.edu/hopper/morph?l=πέραν&la=greek#lexicon) [Στρυμόνος](http://www.perseus.tufts.edu/hopper/morph?l=Στρυμόνος&la=greek#lexicon) **ᾤκησαν** [Φάγρητα](http://www.perseus.tufts.edu/hopper/morph?l=Φάγρητα&la=greek#lexicon) **καὶ** **ἄλλα** [χωρία](http://www.perseus.tufts.edu/hopper/morph?l=χωρία&la=greek#lexicon) **（καὶ** **ἔτι** **καὶ** **νῦν** [Πιερικὸς](http://www.perseus.tufts.edu/hopper/morph?l=Πιερικὸς&la=greek#lexicon) [κόλπος](http://www.perseus.tufts.edu/hopper/morph?l=κόλπος&la=greek#lexicon) **καλεῖται** **ἡ** **ὑπὸ** **τῷ** [Παγγαίῳ](http://www.perseus.tufts.edu/hopper/morph?l=Παγγαίῳ&la=greek#lexicon) **πρὸς** **θάλασσαν** **γῆ）,** **ἐκ** **δὲ** **τῆς** [Βοττίας](http://www.perseus.tufts.edu/hopper/morph?l=Βοττίας&la=greek#lexicon) **καλουμένης** [Βοττιαίους,](http://www.perseus.tufts.edu/hopper/morph?l=Βοττιαίους,&la=greek#lexicon) **οἳ** **νῦν** [ὅμοροι](http://www.perseus.tufts.edu/hopper/morph?l=ὅμοροι&la=greek#lexicon) [Χαλκιδέων](http://www.perseus.tufts.edu/hopper/morph?l=Χαλκιδέων&la=greek#lexicon) **οἰκοῦσιν:**,62.6865671641791
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.100.3,**ἐπὶ** **δὲ** [Στρυμόνα](http://www.perseus.tufts.edu/hopper/morph?l=Στρυμόνα&la=greek#lexicon) [πέμψαντες](http://www.perseus.tufts.edu/hopper/morph?l=πέμψαντες&la=greek#lexicon) [μυρίους](http://www.perseus.tufts.edu/hopper/morph?l=μυρίους&la=greek#lexicon) **οἰκήτορας** **αὑτῶν** **καὶ** **τῶν** [ξυμμάχων](http://www.perseus.tufts.edu/hopper/morph?l=ξυμμάχων&la=greek#lexicon) **ὑπὸ** **τοὺς** **αὐτοὺς** **χρόνους** **ὡς** [οἰκιοῦντες](http://www.perseus.tufts.edu/hopper/morph?l=οἰκιοῦντες&la=greek#lexicon) **τὰς** [τότε](http://www.perseus.tufts.edu/hopper/morph?l=τότε&la=greek#lexicon) **καλουμένας** [Ἐννέα](http://www.perseus.tufts.edu/hopper/morph?l=Ἐννέα&la=greek#lexicon) [ὁδούς,](http://www.perseus.tufts.edu/hopper/morph?l=ὁδούς,&la=greek#lexicon) **νῦν** **δὲ** [Ἀμφίπολιν,](http://www.perseus.tufts.edu/hopper/morph?l=Ἀμφίπολιν,&la=greek#lexicon) **τῶν** **μὲν** [Ἐννέα](http://www.perseus.tufts.edu/hopper/morph?l=Ἐννέα&la=greek#lexicon) [ὁδῶν](http://www.perseus.tufts.edu/hopper/morph?l=ὁδῶν&la=greek#lexicon) **αὐτοὶ** [ἐκράτησαν,](http://www.perseus.tufts.edu/hopper/morph?l=ἐκράτησαν,&la=greek#lexicon) **ἃς** **εἶχον** [Ἠδωνοί,](http://www.perseus.tufts.edu/hopper/morph?l=Ἠδωνοί,&la=greek#lexicon) [προελθόντες](http://www.perseus.tufts.edu/hopper/morph?l=προελθόντες&la=greek#lexicon) **δὲ** **τῆς** [Θρᾴκης](http://www.perseus.tufts.edu/hopper/morph?l=Θρᾴκης&la=greek#lexicon) **ἐς** [μεσόγειαν](http://www.perseus.tufts.edu/hopper/morph?l=μεσόγειαν&la=greek#lexicon) **διεφθάρησαν** **ἐν** [Δραβησκῷ](http://www.perseus.tufts.edu/hopper/morph?l=Δραβησκῷ&la=greek#lexicon) **τῇ** [Ἠδωνικῇ](http://www.perseus.tufts.edu/hopper/morph?l=Ἠδωνικῇ&la=greek#lexicon) **ὑπὸ** **τῶν** [Θρᾳκῶν](http://www.perseus.tufts.edu/hopper/morph?l=Θρᾳκῶν&la=greek#lexicon) **ξυμπάντων,** **οἷς** [πολέμιον](http://www.perseus.tufts.edu/hopper/morph?l=πολέμιον&la=greek#lexicon) **ἦν** **τὸ** [χωρίον](http://www.perseus.tufts.edu/hopper/morph?l=χωρίον&la=greek#lexicon) **[αἱ** [Ἐννέα](http://www.perseus.tufts.edu/hopper/morph?l=Ἐννέα&la=greek#lexicon) [ὁδοὶ]](http://www.perseus.tufts.edu/hopper/morph?l=ὁδοὶ]&la=greek#lexicon) [κτιζόμενον.](http://www.perseus.tufts.edu/hopper/morph?l=κτιζόμενον.&la=greek#lexicon),57.8947368421053
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.98.2,**ἔπειτα** [Σκῦρον](http://www.perseus.tufts.edu/hopper/morph?l=Σκῦρον&la=greek#lexicon) **τὴν** **ἐν** **τῷ** [Αἰγαίῳ](http://www.perseus.tufts.edu/hopper/morph?l=Αἰγαίῳ&la=greek#lexicon) [νῆσον,](http://www.perseus.tufts.edu/hopper/morph?l=νῆσον,&la=greek#lexicon) **ἣν** **ᾤκουν** [Δόλοπες,](http://www.perseus.tufts.edu/hopper/morph?l=Δόλοπες,&la=greek#lexicon) [ἠνδραπόδισαν](http://www.perseus.tufts.edu/hopper/morph?l=ἠνδραπόδισαν&la=greek#lexicon) **καὶ** [ᾤκισαν](http://www.perseus.tufts.edu/hopper/morph?l=ᾤκισαν&la=greek#lexicon) **αὐτοί.**,57.1428571428571
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:2.68.4,**（καὶ** **ἦν** **ἡ** **πόλις** **αὕτη** **μεγίστη** **τῆς** [Ἀμφιλοχίας](http://www.perseus.tufts.edu/hopper/morph?l=Ἀμφιλοχίας&la=greek#lexicon) **καὶ** **τοὺς** **δυνατωτάτους** **εἶχεν** **οἰκήτορας）,**,92.3076923076923
