urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.45.2,ἐστρατήγει δὲ αὐτῶν Λακεδαιμόνιός τε ὁ Κίμωνος καὶ Διότιμος ὁ Στρομβίχου καὶ Πρωτέας ὁ Ἐπικλέους.,Percent known
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:3.17.3,**καὶ** **τὰ** **χρήματα** **τοῦτο** **μάλιστα** [ὑπανήλωσε](http://www.perseus.tufts.edu/hopper/morph?l=ὑπανήλωσε&la=greek#lexicon) **μετὰ** [Ποτειδαίας.](http://www.perseus.tufts.edu/hopper/morph?l=Ποτειδαίας.&la=greek#lexicon),75
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:2.17.5,**καὶ** **οἱ** **μὲν** **ἐν** **τούτῳ** **παρασκευῆς** **ἦσαν.**,NA
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.142.6,**τὸ** **δὲ** **τῆς** **θαλάσσης** [ἐπιστήμονας](http://www.perseus.tufts.edu/hopper/morph?l=ἐπιστήμονας&la=greek#lexicon) **γενέσθαι** **οὐ** **ῥᾳδίως** **αὐτοῖς** [προσγενήσεται.](http://www.perseus.tufts.edu/hopper/morph?l=προσγενήσεται.&la=greek#lexicon),80
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:5.32.2,**καὶ** [Φωκῆς](http://www.perseus.tufts.edu/hopper/morph?l=Φωκῆς&la=greek#lexicon) **καὶ** [Λοκροὶ](http://www.perseus.tufts.edu/hopper/morph?l=Λοκροὶ&la=greek#lexicon) **ἤρξαντο** **πολεμεῖν.**,66.6666666666667
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.110.3,[Ἰνάρως](http://www.perseus.tufts.edu/hopper/morph?l=Ἰνάρως&la=greek#lexicon) **δὲ** **ὁ** [Λιβύων](http://www.perseus.tufts.edu/hopper/morph?l=Λιβύων&la=greek#lexicon) **βασιλεύς,** **ὃς** **τὰ** **πάντα** **ἔπραξε** **περὶ** **τῆς** **Αἰγύπτου,** [προδοσίᾳ](http://www.perseus.tufts.edu/hopper/morph?l=προδοσίᾳ&la=greek#lexicon) **ληφθεὶς** [ἀνεσταυρώθη.](http://www.perseus.tufts.edu/hopper/morph?l=ἀνεσταυρώθη.&la=greek#lexicon),73.3333333333333
