term,locum_pars_flumen_oppidum_omnis_collis_pedum,res_omnis_consilium_cognosco_neo_video_habeo,omnis_res_hostis_magnus_locum_tantus_noster,finis_omnis_magnus_ager_oppidum_transeo_frumentum,mille_passus_circiter_dies_omnis_numerus_ito,navis_magnus_utor_omnis_pars_reliquus_tempus,hostis_noster_legio_proelium_pars_locum_magnus,legio_pars_mitto_caesar_lego_omnis_duo,castra_hostis_locum_caesar_equito_castrum_copia,facio_mitto_lego_impero_civitas_caesarem_res,oppidum_magnus_pars_murus_omnis_noster_munitio,civitas_omnis_populus_habeo_magnus_res_romani
munitio,0.0092405662009852,5.86224887591378e-06,0.00510241642740241,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,6.46483453256014e-06,0.00419742567204207,8.11470953397223e-06,0.0185021236538052,4.33307479320401e-06
parvus,0.00462605124418859,5.86224887591378e-06,0.00538556939229711,0.00382054860332639,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,6.46483453256014e-06,0.00594344300650217,8.11470953397223e-06,1.12066163863145e-05,0.00520402282663801
praesidium,0.00866375183138562,5.86224887591378e-06,0.00481926346250772,7.62584551562155e-06,0.00481924402400011,1.04566415358715e-05,0.0027774557295736,0.00905723318011675,6.98406933784039e-06,8.11470953397223e-06,1.12066163863145e-05,4.33307479320401e-06
animus,1.15362873919915e-05,0.00528188623719831,0.00651818125187589,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,0.0027774557295736,6.46483453256014e-06,0.00245140833758198,8.11470953397223e-06,1.12066163863145e-05,0.00390410038867681
impero,1.15362873919915e-05,5.86224887591378e-06,0.00113827491887668,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.00550157418720868,6.98406933784039e-06,0.0227293014046562,1.12066163863145e-05,4.33307479320401e-06
peto,1.15362873919915e-05,5.86224887591378e-06,0.00453611049761302,7.62584551562155e-06,1.37300399544163e-05,0.0015789528719166,0.00202134255455357,6.46483453256014e-06,6.98406933784039e-06,0.0170490047308757,1.12066163863145e-05,0.00173756299207481
sequor,1.15362873919915e-05,5.86224887591378e-06,0.00142142788377137,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,0.00554987070464707,6.46483453256014e-06,0.00699105340717823,0.00852855972020482,1.12066163863145e-05,0.00195421673173501
virtus,1.15362873919915e-05,0.0029369866868328,0.00312034567313954,7.62584551562155e-06,1.37300399544163e-05,0.0015789528719166,0.00731413477969383,6.46483453256014e-06,6.98406933784039e-06,8.11470953397223e-06,1.12066163863145e-05,0.00520402282663801
volo,1.15362873919915e-05,0.005574998680994,0.00283719270824485,7.62584551562155e-06,1.37300399544163e-05,0.00680727363985235,5.04075450013358e-06,0.000329706561160567,6.98406933784039e-06,0.00731135329010898,1.12066163863145e-05,0.00347079290935641
eques,1.15362873919915e-05,5.86224887591378e-06,0.00283719270824485,7.62584551562155e-06,0.00619224801944174,0.0036702811790909,0.00605394615466043,0.00420860728069665,0.00384822220515005,8.11470953397223e-06,1.12066163863145e-05,4.33307479320401e-06
transeo,1.15362873919915e-05,5.86224887591378e-06,0.00170458084866607,0.0164031937041019,1.37300399544163e-05,1.04566415358715e-05,0.00151726710454021,6.46483453256014e-06,0.00384822220515005,8.11470953397223e-06,1.12066163863145e-05,0.00173756299207481
convenio,1.15362873919915e-05,5.86224887591378e-06,0.00368665160292893,0.00305796405176424,0.00481924402400011,1.04566415358715e-05,5.04075450013358e-06,0.00517833246058067,6.98406933784039e-06,0.0044712049532187,1.12066163863145e-05,0.00390410038867681
celeriter,1.15362873919915e-05,0.00586811112478969,5.66305929789391e-06,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,0.00302949345458028,0.00356212382744064,0.00524503607271813,0.0044712049532187,0.00169219907433349,4.33307479320401e-06
jam,1.15362873919915e-05,5.86224887591378e-06,5.66305929789391e-06,0.00648959453379393,1.37300399544163e-05,1.04566415358715e-05,0.00504579525463371,6.46483453256014e-06,0.00419742567204207,0.00163105661632842,0.00449385317091211,0.00238752421105541
periculum,1.15362873919915e-05,0.00704056089997245,0.00623502828698119,7.62584551562155e-06,1.37300399544163e-05,0.00523877740947163,0.00328153117958696,6.46483453256014e-06,0.0010545944700139,8.11470953397223e-06,1.12066163863145e-05,4.33307479320401e-06
pugno,1.15362873919915e-05,5.86224887591378e-06,0.00340349863803424,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,0.0100865497547673,6.46483453256014e-06,0.00245140833758198,0.00163105661632842,0.00449385317091211,0.000220986814453404
romani,1.15362873919915e-05,5.86224887591378e-06,0.00481926346250772,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,6.46483453256014e-06,6.98406933784039e-06,8.11470953397223e-06,1.12066163863145e-05,0.0119202887561042
interficio,1.15362873919915e-05,0.00147142446785436,5.66305929789391e-06,0.00153279494863993,1.37300399544163e-05,1.04566415358715e-05,0.011094700654794,0.00129943174104459,6.98406933784039e-06,0.000413850186232584,1.12066163863145e-05,0.00282083169037581
opus,0.00866375183138562,0.00235076179924143,5.66305929789391e-06,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,6.46483453256014e-06,0.00454662913893409,0.00163105661632842,0.0173814620151738,4.33307479320401e-06
sino,1.15362873919915e-05,5.86224887591378e-06,0.00821709904124406,7.62584551562155e-06,1.37300399544163e-05,0.0036702811790909,5.04075450013358e-06,6.46483453256014e-06,6.98406933784039e-06,0.00609414686001315,0.00617484562885928,0.00130425551275441
totus,0.00404923687458902,5.86224887591378e-06,0.00255403974335015,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,0.00126522937953353,0.00582481591383669,6.98406933784039e-06,8.11470953397223e-06,0.00113186825501776,0.00585398404561861
accipio,1.15362873919915e-05,0.00498877379340263,0.00170458084866607,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,0.00302949345458028,0.00162267346767259,6.98406933784039e-06,0.00731135329010898,1.12066163863145e-05,0.00195421673173501
nox,1.15362873919915e-05,5.86224887591378e-06,5.66305929789391e-06,7.62584551562155e-06,0.0151167739898123,1.04566415358715e-05,0.00227338027956024,6.46483453256014e-06,0.00908627420853034,8.11470953397223e-06,0.00561451480954355,4.33307479320401e-06
propter,1.15362873919915e-05,5.86224887591378e-06,0.00821709904124406,0.00420184087910747,1.37300399544163e-05,0.010989930254201,5.04075450013358e-06,6.46483453256014e-06,6.98406933784039e-06,8.11470953397223e-06,1.12066163863145e-05,0.00130425551275441
passus,1.15362873919915e-05,5.86224887591378e-06,5.66305929789391e-06,7.62584551562155e-06,0.0453228618895281,1.04566415358715e-05,5.04075450013358e-06,6.46483453256014e-06,6.98406933784039e-06,8.11470953397223e-06,1.12066163863145e-05,4.33307479320401e-06
ager,1.15362873919915e-05,5.86224887591378e-06,5.66305929789391e-06,0.0190722396345695,1.37300399544163e-05,0.00314744910229732,5.04075450013358e-06,6.46483453256014e-06,6.98406933784039e-06,8.11470953397223e-06,1.12066163863145e-05,0.00173756299207481
duco,0.00577967998338775,0.0029369866868328,0.00198773381356076,0.00191408722442101,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.00614805764046469,0.0010545944700139,8.11470953397223e-06,1.12066163863145e-05,0.00217087047139521
ibi,0.00577967998338775,5.86224887591378e-06,5.66305929789391e-06,0.0053457177064507,1.37300399544163e-05,0.00419311325588448,5.04075450013358e-06,0.00808750800023273,6.98406933784039e-06,0.000413850186232584,1.12066163863145e-05,0.00130425551275441
silva,1.15362873919915e-05,5.86224887591378e-06,5.66305929789391e-06,0.00763347136113717,1.37300399544163e-05,1.04566415358715e-05,0.00580190842965375,6.46483453256014e-06,0.00734025687407025,8.11470953397223e-06,1.12066163863145e-05,4.33307479320401e-06
discedo,1.15362873919915e-05,5.86224887591378e-06,0.00680133421677058,0.00420184087910747,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.00291564037418462,6.98406933784039e-06,0.00649988233671176,1.12066163863145e-05,0.000654294293773805
frumentum,1.15362873919915e-05,5.86224887591378e-06,5.66305929789391e-06,0.0160219014283209,1.37300399544163e-05,0.00262461702550375,5.04075450013358e-06,0.00420860728069665,0.0010545944700139,8.11470953397223e-06,1.12066163863145e-05,4.33307479320401e-06
