identifier,ام_دارم_خواهم_ندارم_شمع_آتش_عشق,حقیقت_عین_راز_یقین_جانان_اسرار_کل,غم_عشق_جهان_درد_یار_وصل_خاقانی,شاه_پیر_جهان_زانکه_حق_حال_شیخ,عقل_دین_مر_جهان_خرد_خلق_باش,دین_عالم_عقل_حق_نور_روح_علم,آدم_حق_راز_پرده_عشق_کل_نمود,عشق_جهان_ذره_عالم_عطار_گم_عقل,زلف_لب_آتش_رخ_خط_عشق_لعل,حق_دین_علم_اسرار_جهان_شوی_دان,اند_صبح_فلک_شاه_کعبه_خاقانی_آمده,شاه_داشت_افتاد_شه_جهان_بودی_بسی,بینی_عالم_چرا_باشی_بسی_زهی_جهان,ملک_جهان_فلک_عدل_دولت_آسمان_رای,عشق_گه_زن_جام_درد_مست_عاشق
urn:cts:perslit:sanaee.divans:ghaside-sanaee.100,0.00851243152128108,8.42815002107038e-05,0.0337968815844922,8.42815002107038e-05,0.0885798567214496,0.223430257058576,8.42815002107038e-05,8.42815002107038e-05,0.0211546565528866,0.00429835651074589,0.0211546565528866,0.0717235566793089,8.42815002107038e-05,0.526843657817109,8.42815002107038e-05
urn:cts:perslit:sanaee.divans:ghaside-sanaee.101,0.0194347657762292,7.74293457220286e-05,0.0116918312040263,0.305923344947735,0.201393728222997,0.224622531939605,7.74293457220286e-05,7.74293457220286e-05,0.089121176926055,7.74293457220286e-05,0.00394889663182346,7.74293457220286e-05,7.74293457220286e-05,0.0349206349206349,0.108478513356562
urn:cts:perslit:sanaee.divans:ghaside-sanaee.102,0.000174978127734033,0.000174978127734033,0.000174978127734033,0.000174978127734033,0.332633420822397,0.367629046369204,0.026421697287839,0.0964129483814523,0.000174978127734033,0.0351706036745407,0.000174978127734033,0.000174978127734033,0.140157480314961,0.000174978127734033,0.000174978127734033
urn:cts:perslit:sanaee.divans:ghaside-sanaee.103,8.39278220730172e-05,8.39278220730172e-05,8.39278220730172e-05,8.39278220730172e-05,0.167939571968107,0.528829206882081,8.39278220730172e-05,8.39278220730172e-05,8.39278220730172e-05,8.39278220730172e-05,8.39278220730172e-05,0.0252622744439782,8.39278220730172e-05,0.27704574066303,8.39278220730172e-05
urn:cts:perslit:sanaee.divans:ghaside-sanaee.104,0.000119545726240287,0.000119545726240287,0.179438135086671,0.000119545726240287,0.000119545726240287,0.514166168559474,0.000119545726240287,0.000119545726240287,0.000119545726240287,0.113687985654513,0.000119545726240287,0.000119545726240287,0.000119545726240287,0.13759713090257,0.0539151225343694
urn:cts:perslit:sanaee.divans:ghaside-sanaee.105,0.0644579422050433,3.68120743603902e-05,3.68120743603902e-05,0.0736609607951408,0.15096631695196,0.224590465672741,3.68120743603902e-05,3.68120743603902e-05,0.0386894901527701,3.68120743603902e-05,0.0939076016933554,0.0018774157923799,3.68120743603902e-05,0.33870789618995,0.012921038100497
urn:cts:perslit:sanaee.divans:ghaside-sanaee.106,0.000153491941673062,0.000153491941673062,0.000153491941673062,0.000153491941673062,0.383883346124328,0.268764389869532,0.000153491941673062,0.000153491941673062,0.000153491941673062,0.000153491941673062,0.000153491941673062,0.000153491941673062,0.184343821949348,0.161320030698388,0.000153491941673062
urn:cts:perslit:sanaee.divans:ghaside-sanaee.107,0.000119545726240287,0.000119545726240287,0.227256425582785,0.000119545726240287,0.000119545726240287,0.484279736999402,0.000119545726240287,0.000119545726240287,0.000119545726240287,0.131619844590556,0.000119545726240287,0.000119545726240287,0.000119545726240287,0.155528989838613,0.000119545726240287
urn:cts:perslit:sanaee.divans:ghaside-sanaee.108,4.50146297546703e-05,4.50146297546703e-05,0.0810713481881612,4.50146297546703e-05,0.063065496286293,0.429934728786856,0.0383074499212244,4.50146297546703e-05,0.132838172406032,4.50146297546703e-05,0.054062570335359,4.50146297546703e-05,0.00229574611748818,0.0360567184334909,0.162097681746568
urn:cts:perslit:sanaee.divans:ghaside-sanaee.109,0.090865093768905,0.000120992135511192,0.0848154869933454,0.00617059891107078,0.0727162734422263,0.151361161524501,0.000120992135511192,0.000120992135511192,0.16950998185118,0.000120992135511192,0.000120992135511192,0.139261947973382,0.000120992135511192,0.284452510586812,0.000120992135511192
