term,gerry_brownlee_time_high_paper_bank_buildings,insurance_chief_executive_companies_commission_recent_ami,red_zone_people_house_land_areas_report,people_buildings_labelled_representing_heading_broken_rubble,buildings_city_heritage_notes_speaks_cbd_sep,city_community_people_central_plan_district_cbd,river_pike_south_disaster_island_zealand_year,community_lyttelton_local_damage_describes_aftermath_process,version_words_cathedral_word_portaloo_damage_zealand,house_rebuild_eqc_city_insurance_woman_land,council_city_newspaper_marryatt_tony_people_woman,world_rugby_cup_frame_school_children_students,magnitude_city_caused_damage_big_aftershocks_year,people_aftershocks_ring_ken_called_moon_continuing,brownlee_john_key_government_gerry_prime_finance,party_jersey_team_centre_zealand_asks_news,mayor_bob_parker_cera_people_local_response
making,0.00123134868897581,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.00326359470908619,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00494893331755984
media,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,0.0137007108572817,1.97168658070113e-05
mental,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.003507871321013,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
named,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.00174384474602024,0.00623601557968012,2.04842476135852e-05,0.000804188085401621,3.03785163132633e-05,1.97168658070113e-05
needed,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.00535742843435151,2.29526257803893e-05,1.72657895645568e-05,0.00416424960636446,2.04842476135852e-05,1.57683938314043e-05,0.00154930433197643,1.97168658070113e-05
neighbour,2.41440919407021e-05,1.46267259536625e-05,0.00234588615461099,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,0.00616575853168913,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
nuclear,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,0.0103516342269556,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
older,0.00485296248008112,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.00135934751319367,2.29526257803893e-05,1.72657895645568e-05,0.00416424960636446,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
outlines,2.41440919407021e-05,0.00293997191668617,1.5535669898086e-05,1.95817341583771e-05,0.00156337502333396,2.34642639260406e-05,2.39417736065888e-05,0.00122543130376279,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
parking,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,0.0093436645396536,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
places,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,0.00099866844207723,0.00195227428286977,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,0.00309312138965136,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
police,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.00542491570848102,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00396309002720927
port,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,0.0108366572156279,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
premiums,2.41440919407021e-05,0.0065966534051018,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
prices,0.00243855328601091,0.00440264451205242,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.00135934751319367,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
published,2.41440919407021e-05,0.00147729932131992,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.00758623670787585,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
read,2.41440919407021e-05,1.46267259536625e-05,0.00312266964951529,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,0.00481229649492434,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,0.00117058391479985,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
reflects,2.41440919407021e-05,1.46267259536625e-05,0.00156910265970669,1.95817341583771e-05,0.00117447576379815,2.34642639260406e-05,0.00361520781459491,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00100556015615758
reinsurance,2.41440919407021e-05,0.00513398080973555,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.00269204115357962,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
related,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00234117354240558,0.00119667746022807,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.00159260777697184,3.03785163132633e-05,1.97168658070113e-05
research,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.003507871321013,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
robert,0.00726737167415133,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,0.00242683454274593,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.000880555267792396,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
rocks,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.00110227370969136,0.00402473479396556,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,0.00514154615100987,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
scheme,2.41440919407021e-05,0.00220863561900304,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.00402473479396556,2.29526257803893e-05,0.00260713422424808,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
schools,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.000396677244726526,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.00692358161538727,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
science,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,0.00727189856633795,2.04842476135852e-05,1.57683938314043e-05,0.00306823014763959,1.97168658070113e-05
sectors,2.41440919407021e-05,0.0065966534051018,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
snow,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,0.0107977398965715,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
warning,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,0.00242683454274593,0.00758623670787585,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
wondering,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,0.0105823830306443,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
airport,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,0.00197775514999608,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.00110227370969136,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00494893331755984
architectural,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00311897206147719,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
architecture,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00117447576379815,2.34642639260406e-05,0.00481229649492434,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.000804188085401621,3.03785163132633e-05,1.97168658070113e-05
assessments,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.0106882029958953,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
barry,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00156337502333396,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00396309002720927
builder,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,0.0023698906565301,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.00802281571512341,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
buy,2.41440919407021e-05,1.46267259536625e-05,0.00389945314441959,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.00402473479396556,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
career,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00311897206147719,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
christmas,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,0.00830778155299577,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
containers,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,0.0096006512162421,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
cope,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00156337502333396,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.000880555267792396,2.07176597331565e-05,0.00309312138965136,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
crumbling,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,0.00687318868959035,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.000804188085401621,3.03785163132633e-05,1.97168658070113e-05
darfield,2.41440919407021e-05,0.00220863561900304,1.5535669898086e-05,1.95817341583771e-05,0.000785576504262336,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,0.00458715596330275,1.97168658070113e-05
details,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.000785576504262336,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.00347042370247591,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00199140344650814
died,2.41440919407021e-05,1.46267259536625e-05,0.000792319164802386,1.95817341583771e-05,7.7779851907162e-06,0.00119667746022807,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,0.00519700265893159,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
donations,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,0.00099866844207723,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.00110227370969136,2.6653872807719e-05,0.00690874035989717,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
earlier,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.00553470623482292,3.03785163132633e-05,0.00100556015615758
east,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,0.00843385073766159,2.16132099939483e-05,2.6653872807719e-05,0.00117058391479985,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
estate,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,0.0092040029379361,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
estimates,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,0.00362823778172906,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.00395786685168249,3.03785163132633e-05,1.97168658070113e-05
faced,2.41440919407021e-05,0.00147729932131992,1.5535669898086e-05,1.95817341583771e-05,0.00156337502333396,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,0.00218293420938878,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
fared,2.41440919407021e-05,0.0036713082143693,1.5535669898086e-05,1.95817341583771e-05,0.000785576504262336,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.000804188085401621,3.03785163132633e-05,1.97168658070113e-05
fence,2.41440919407021e-05,1.46267259536625e-05,0.00389945314441959,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,0.00117058391479985,1.72657895645568e-05,2.07176597331565e-05,0.0020689090089721,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
figures,2.41440919407021e-05,0.00220863561900304,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.00395786685168249,3.03785163132633e-05,1.97168658070113e-05
foundation,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,0.00823595663804026,0.00122103045393603,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
give,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.00238102746854205,3.03785163132633e-05,0.00494893331755984
god,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,0.00122543130376279,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,0.00727189856633795,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
good,2.41440919407021e-05,1.46267259536625e-05,0.00312266964951529,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,0.00135934751319367,2.29526257803893e-05,0.00260713422424808,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
govt,2.41440919407021e-05,1.46267259536625e-05,0.00234588615461099,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.00395786685168249,3.03785163132633e-05,1.97168658070113e-05
homestead,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00311897206147719,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
leadership,2.41440919407021e-05,0.00147729932131992,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,0.00914393341029224,1.97168658070113e-05
leaky,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,0.0078522753975092,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
lists,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00117447576379815,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,0.00762500759462908,1.97168658070113e-05
mark,2.41440919407021e-05,1.46267259536625e-05,0.000792319164802386,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,0.00520013259302229,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00199140344650814
masonry,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,0.00491501527375264,0.000396677244726526,2.34642639260406e-05,0.00122103045393603,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,0.000804188085401621,3.03785163132633e-05,1.97168658070113e-05
massive,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,0.0092040029379361,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
mayoral,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,0.00790646318861154
moves,0.00606016707711623,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,0.00346584649283878,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
napier,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,0.00311897206147719,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
ongoing,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,0.00576110907087771,1.72657895645568e-05,2.07176597331565e-05,0.00309312138965136,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
open,0.00847457627118644,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,0.00105660064639098,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
otago,2.41440919407021e-05,1.46267259536625e-05,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,2.39417736065888e-05,0.00482964102071219,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,0.00416424960636446,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
phil,2.41440919407021e-05,0.000745963023636789,1.5535669898086e-05,1.95817341583771e-05,7.7779851907162e-06,2.34642639260406e-05,0.00840356253591266,2.40280647796626e-05,2.16132099939483e-05,2.6653872807719e-05,2.29526257803893e-05,1.72657895645568e-05,2.07176597331565e-05,2.04842476135852e-05,1.57683938314043e-05,3.03785163132633e-05,1.97168658070113e-05
