term,ναῦς_πρός_πλέω_ὡς_ναυμαχία_ἀθηναῖοι_πολύς,ἄλλος_πολύς_πόλις_νῦν_οἰκέω_ἔχω_πρότερος,ὡς_πολύς_πρότερος_χωρέω_σφεῖς_τις_πρός,ὁπλίτης_ἄλλος_ναῦς_ἀθηναίων_δ_σύμμαχος_τριακόσιοι,τις_ὅς_πολύς_ἔχω_πρός_ἄλλος_γίγνομαι,ὡς_τις_ἄλλος_λέγω_ὅστις_σφεῖς_δῆμος,ὡς_πόλις_σφεῖς_τις_ἀθηναίων_βούλομαι_δ,ἐπ_ἀθηναῖοι_ἀναχωρέω_ἵστημι_οἶκος_ναῦς_τροπαῖος,πολύς_ἄλλος_ναῦς_πᾶς_μέγας_τις_γίγνομαι,ἱερός_τις_ὅς_χράω_γίγνομαι_ὡς_πόλις,σύμμαχος_σπονδή_ποιέω_πρός_σφεῖς_γίγνομαι_πόλεμος,τεῖχος_ὅς_πρός_τις_ἔχω_θάλασσα_πόλις,γίγνομαι_βασιλεύς_πόλεμος_τελευτάω_ἔτος_πρότερος_χειμών,ναῦς_ὡς_ὅς_πλέω_ἄλλος_χάω_ἀφικνέομαι
τις,0.00153037080006717,0.00622711490834113,0.0119114756432087,0.003381068714654,0.0204170900529674,0.0214989406481997,0.0146082071636631,0.00585798054752514,0.0148617826107908,0.0224044999926567,0.0109354897996692,0.0199851747182617,5.51638919229029e-06,0.00534669253024724
ἄλλος,0.00744576915444151,0.0237056962400313,0.0105426551831756,0.0334125173777484,0.0106506330534308,0.0178460034056615,0.00900659389904292,0.00878404475707815,0.0216883242045071,0.00771783988603152,0.0063407461863628,0.0107193736318466,0.0129690309910745,0.0145934705418201
πολύς,0.0120254323965378,0.0234094490988162,0.0162917011153149,6.74864014900997e-06,0.0128325011065188,0.0109616216793395,0.00600572965013924,0.0143435667552289,0.0327312591355189,7.34333005331258e-06,0.0103017320599028,0.0147731616071532,0.00607354450071161,0.00740153208837454
ὡς,0.0135519868105699,5.92494282430175e-06,0.018071167713358,0.0023687726923025,0.00997529294176075,0.0220609309932055,0.0240109151435613,0.0140509603342736,0.00783446038196508,0.0154283364420097,0.00475635183694681,0.00405957910098565,0.00855591963724225,0.0170592780115729
ὅς,0.0108805165860137,0.00652336204955622,0.00821566040111915,0.00574309276680749,0.0189105621115496,0.00801117236805872,0.00800630581607503,0.00439494844274863,0.0088383635575116,0.0179985019606691,0.00443947296706361,0.0237494064096179,0.0124173920718455,0.0147989544976328
ναῦς,0.0723243317508053,5.92494282430175e-06,2.73764092006636e-06,0.0324002213553969,1.03898478718475e-06,2.80995172502936e-06,4.00115233187158e-06,0.0160992052809607,0.0188773953129769,7.34333005331258e-06,3.16878869883198e-06,0.00174312882938186,5.51638919229029e-06,0.0634986520252499
πρός,0.01641427633688,0.0094858334617071,0.0117745935972054,6.74864014900997e-06,0.0115337701225379,0.0105401289205851,0.0092066515156365,0.00644319338943574,0.0122516343543698,7.34333005331258e-06,0.0193327798515739,0.0202747310022122,0.00552190558148258,0.00349733692793267
γίγνομαι,0.00839986566321157,0.00563462062591096,0.0112270654131921,6.74864014900997e-06,0.0102869883779162,0.0112426168518425,0.00900659389904292,0.00263930991701682,0.0146610019756814,0.0157955029446754,0.0175899460672163,0.00521780423678755,0.0286907401891018,0.00185346528143083
ἔχω,0.00744576915444151,0.0130407991562881,0.00999512699916228,0.00608052477425799,0.0116896178406156,0.00463923029802348,0.00720607534970071,0.0102470768618547,0.00783446038196508,0.00661634037803463,0.0118861264093188,0.0191165058664103,0.00993501693531482,0.00822346791162546
δ,0.0106896972842597,0.0118558105914278,0.0104057731371722,0.0202526690871789,0.00696223705892498,0.00758967960930431,0.0120074581479466,0.0128805346504524,0.00642899593619995,0.00588200737270337,0.00871733771048679,0.00956114849604466,0.00607354450071161,0.00966185560231457
