identifier,king_war_lacedaemonians_allies_athenians_son_country,athenians_city_arms_temple_death_commons_day,hundred_infantry_heavy_ships_thousand_son_athenians,wall_athenians_town_city_sea_place_army,athenians_lacedaemonians_treaty_allies_lacedaemon_alliance_athens,sicily_war_syracusans_allies_athenians_syracuse_country,athenians_enemy_syracusans_ships_battle_army_men,war_men_good_city_present_power_country,ships_fleet_athenians_sailed_sea_peloponnesians_put,athenians_alcibiades_tissaphernes_son_envoys_lacedaemonians_government,enemy_sea_athenians_force_war_land_numbers,country_athenians_allies_territory_lacedaemonians_town_city
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.1.1,0.638101983002833,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.354815864022663,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.1.2,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.326839826839827,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.651515151515151,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.1.3,0.00103950103950104,0.053014553014553,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.156964656964657,0.624740124740125,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.156964656964657
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.2.1,0.156964656964657,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.00103950103950104,0.468814968814969,0.00103950103950104,0.00103950103950104,0.364864864864865,0.00103950103950104
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.2.2,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.0420792079207921,0.000825082508250825,0.413366336633663,0.000825082508250825,0.413366336633663,0.000825082508250825,0.124587458745875,0.000825082508250825,0.000825082508250825
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.2.3,0.35252808988764,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.633426966292135
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.2.4,0.5355871886121,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.446619217081851,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.2.5,0.587890625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.392578125,0.001953125,0.001953125,0.001953125,0.001953125
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.2.6,0.419969512195122,0.267530487804878,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.305640243902439,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:1.3.1,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125,0.978515625,0.001953125,0.001953125,0.001953125,0.001953125
